Milestone,Month,TVL,TVL Growth %,Typus Perp TVL,Perp TVL Growth %,DOV TVL,DOV TVL Growth %,SAFU TVL,SAFU TVL Growth %,,Accumulated Notional Volume_Perps,Notional Volume_Perps,Accumulated TLP Fee,TLP Fee
,,,11%,,9293%,,10.55%,,-8%,,,,,
"DOV v2, Tails v1 & Dice",2023/10,"168,917",,,,"168,917",,,,,,,,
Hourly & Leveraged Options,2023/11,"508,995",201%,,,"508,995",201%,,,,,,,
DOV + Lending,2023/12,"2,113,755",315%,,,"2,113,755",315%,,,,,,,
,2024/1,"3,261,742",54%,,,"3,261,742",54%,,,,,,,
Tails Mint v2,2024/2,"5,827,380",79%,,,"5,827,380",79%,,,,,,,
Auto Bid & TG Bot,2024/3,"7,539,477",29%,,,"7,539,477",29%,,,,,,,
,2024/4,"8,074,046",7%,,,"8,074,046",7%,,,,,,,
Depositor & Bidder Program,2024/5,"7,995,475",-1%,,,"7,995,475",-1%,,,,,,,
,2024/6,"7,619,070",-5%,,,"7,619,070",-5%,,,,,,,
Tails v2 & 10mins,2024/7,"6,409,354",-16%,,,"6,409,354",-16%,,,,,,,
Dice 真金版,2024/8,"5,893,191",-8%,,,"5,893,191",-8%,,,,,,,
SAFU,2024/9,"12,266,463",108%,,,"10,711,546",82%,"1,554,917",,,,,,
Native USDC,2024/10,"13,918,207",13%,,,"10,830,701",1%,"3,087,506",99%,,,,,
TGE & Sui Wallet Campaign,2024/11,"14,986,082",8%,,,"10,436,162",-4%,"4,549,920",47%,,,,,
SAFU Auto-Compound,2024/12,"18,419,326",23%,,,"7,784,663",-25%,"10,634,663",134%,,,,,
SAFU 10% fee,2025/1,"18,821,254",2%,,,"8,881,625",14%,"9,939,629",-7%,,,,,
DOV Dynamic Filled Rate,2025/2,"13,854,113",-26%,,,"7,185,897",-19%,"6,668,216",-33%,,,,,
Walrus Node,2025/3,"8,852,632",-36%,,,"5,900,376",-18%,"2,952,256",-56%,,,,,
Perp & TLP,2025/4,"10,448,353",18%,"687,107",,"6,554,385",11%,"3,206,861",9%,,,"6,910,598",,"4,831"
Perps Leaderboard,2025/5,"10,193,439",-2%,"2,179,041",217%,"5,756,696",-12%,"2,257,702",-30%,start update by n8n,,"43,511,917",,"35,684"
TLP Secondary,2025/6,"12,657,649",24%,"3,585,886",65%,"5,198,915",-10%,"3,872,848",72%,,,"44,461,770",,"37,853"
xBTC & 100x Trading,2025/7,"16,848,636",33%,"3,736,277",4%,"8,747,170",68%,"4,365,189",13%,,,"59,283,575",,"64,510"
2025/8,2025/8,"15,407,098",-9%,"3,569,503",-4%,"8,168,856",-6.61%,"3,668,739",-16%,,,"56,115,935",,"97,571"
2025/9,2025/9,"15,273,819",-1%,"3,834,991",7%,"8,363,202",2.38%,"3,075,627",-16%,,,"31,035,182",,"47,143"
TLP incident,2025/10,"5,738,404",-62%,"9,729",-99.75%,"4,169,368",-50.15%,"1,559,307",-49%,,,"53,004,636",,"38,700"
2025/11,2025/11,"5,119,668",-11%,0,-100%,"3,905,412",-6.33%,"1,214,255",-22%,,,0,,0
2025/12,2025/12,"4,573,447",-11%,0,0%,"3,984,700",2.03%,"588,748",-52%,,,0,,0
Perp relaunch,2026/1,"4,108,822",-10%,"3,254",,"3,551,374",-10.87%,"554,195",-6%,,277.8523193,277.8523193,0.2453201527,0.2453201527
Fee Discount 70%,2026/2,"3,511,185",-15%,"305,606",9293%,"2,799,611",0,"405,967",-27%,,3277744.115,3277329.926,5070.588476,5062.796888
