Milestone,Month,Web Traffic-Total Visitors,Web Traffic-New Visitors,Total Users,Total Users - Typus Perp,Total Users - Typus v2,Total New Users,New Users - Typus Perp,New Users - Typus v2,New User %,User Growth,MAU - Typus Perp,MAU % - Typus Perp,MAU - Typus v2,MAU % - Typus v2
,,"8,197","6,421",,,,,,,10%,0.09%,,29%,,0%
"DOV v2, Tails v1 & Dice",2023/10,"6,123","2,887","895,229",,895229,,,,,,,,265,0%
Hourly & Leveraged Options,2023/11,"5,854","4,536","895,476",,"895,476",247,,247,5%,0.03%,,,407,0%
DOV + Lending,2023/12,"5,499","4,253","896,174",,"896,174",698,,698,16%,0.08%,,,"1,010",0%
,2024/1,"7,499","6,103","896,733",,"896,733",559,,559,9%,0.06%,,,"1,150",0%
Tails Mint v2,2024/2,"4,379","3,323","897,159",,"897,159",426,,426,13%,0.05%,,,"1,100",0%
Auto Bid & TG Bot,2024/3,"3,770","2,783","898,083",,"898,083",924,,924,33%,0.10%,,,"1,640",0%
,2024/4,"3,295","2,548","898,422",,"898,422",339,,339,13%,0.04%,,,"1,570",0%
Depositor & Bidder Program,2024/5,"3,622","2,814","898,626",,"898,626",204,,204,7%,0.02%,,,943,0%
,2024/6,"2,762","1,942","898,815",,"898,815",189,,189,10%,0.02%,,,"1,490",0%
Tails v2 & 10mins,2024/7,"2,196","1,493","898,904",,"898,904",89,,89,6%,0.01%,,,826,0%
Dice 真金版,2024/8,"2,206","1,506","898,981",,"898,981",77,,77,5%,0.01%,,,796,0%
SAFU,2024/9,"3,450","2,628","899,182",,"899,182",201,,201,8%,0.02%,,,941,0%
Native USDC,2024/10,"6,933","5,720","902,038",,"902,038","2,856",,"2,856",50%,0.32%,,,"3,760",0%
TGE & Sui Wallet Campaign,2024/11,"87,843","84,556","914,222",,"914,222","12,184",,"12,184",14%,1.35%,,,"15,800",2%
SAFU Auto-Compound,2024/12,"22,216","12,979","914,715",,"914,715",493,,493,4%,0.05%,,,"6,110",1%
SAFU 10% fee,2025/1,"12,582","7,909","915,169",,"915,169",454,,454,6%,0.05%,,,"2,390",0%
DOV Dynamic Filled Rate,2025/2,"7,005","4,055","915,344",,"915,344",175,,175,4%,0.02%,,,"1,690",0%
Walrus Node,2025/3,"8,106","5,709","915,479",,"915,479",135,,135,2%,0.01%,,,"1,250",0%
Perp & TLP,2025/4,"9,414","6,776","916,153",409,"915,744",674,409,265,10%,0.07%,408,100%,"1,450",0%
Perps Leaderboard,2025/5,"7,741","5,123","916,654",784,"915,870",501,375,126,10%,0.05%,542,69%,"1,309",0%
TLP Secondary,2025/6,"5,003","3,391","916,970",985,"915,985",316,201,115,9.32%,0.03%,445,45%,779,0%
"xBTC, MM OTC & 100x Trading",2025/7,"5,653","3,847","917,373",1289,916084,403,304,99,10.48%,0.04%,533,41%,932,0%
2025/8,2025/8,"5,258","3,641","917,642",1494,916148,269,205,64,7.39%,0.03%,507,34%,738,0.08%
2025/9,2025/9,"3,940","2,555","917,801",1605,916196,159,111,48,6.22%,0.02%,375,23%,626,0.07%
TLP incident,2025/10,"4,327","3,038","917,905",1653,916252,104,48,56,3.42%,0.01%,307,19%,569,0.06%
2025/11,2025/11,"2,482","1,602","917,941",1653,916288,36,0,36,2.25%,0%,0,0%,506,0.06%
2025/12,2025/12,"1,712","1,166","917,963",1653,916310,22,0,22,1.89%,0%,0,0%,360,0.04%
Pre-launch TLP,2026/1,"1,760","1,246","918,011",1675,916336,48,22,26,3.85%,0.01%,22,1%,320,0.03%
Fee Discount 70% & mTLP incentive,2026/2,"1,521","1,108","918,100",1751,916349,89,76,13,8.03%,0.01%,88,5%,244,0.03%
xStock,2026/3,"1,762","1,388","918,240",1874,916366,140,123,17,10.09%,0.02%,172,9%,241,0.03%
